title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Traicionar Es Bueno Pero Es Pecado","Alexandre Pires","Traicionar Es Bueno Pero Es Pecado",BRG5H1700003,spotify,0oOmnQpFBFcX6Z9x1gRruz,208s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0oOmnQpFBFcX6Z9x1gRruz
"Sin Censura","Kewin Cosmos","Sin Censura",TCADT1800569,spotify,4Oy5FqJIImmQQAtjo9E0L2,192s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4Oy5FqJIImmQQAtjo9E0L2
"Una Vuelta","Pinto Picasso","Una Vuelta",TCADN1838312,spotify,5zLHwFSoGvK5AUbma0pQDS,237s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5zLHwFSoGvK5AUbma0pQDS
"Solo Quise Quererte","Kewin Cosmos",Episodes,TCACP1663831,spotify,1LVgUFUPg5M8uz6RGCovfp,217s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1LVgUFUPg5M8uz6RGCovfp
"Drama (Bachata Remix)","Kewin Cosmos","Drama (Bachata Remix)",TCADU1894512,spotify,4z3RaHY2CpLqgCrANoh8Dr,168s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4z3RaHY2CpLqgCrANoh8Dr
"Saborearte de Nuevo",Bori,"Saborearte de Nuevo",QZB4J1818510,spotify,5NvuNnG0LOe7VXjdoX5ZXl,216s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5NvuNnG0LOe7VXjdoX5ZXl
Amantes,Esme,Amantes,USDY41853350,spotify,7etFzfKahiSxn92PgnAO8T,222s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7etFzfKahiSxn92PgnAO8T
Miedo,"Mr. Don",Miedo,US7VG1706776,spotify,3v0aAPSEOXySrWKb0nmGnK,250s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3v0aAPSEOXySrWKb0nmGnK
Amazing,"Mr. Don",Deluxe,US7VG1760140,spotify,5Y1KvLu8UmS09YiiEuEQLJ,141s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5Y1KvLu8UmS09YiiEuEQLJ
Cadenas,"Mr. Don",Deluxe,US7VG1791142,spotify,5P3e0SzRhZufvz893002DN,196s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5P3e0SzRhZufvz893002DN
Mala,"Mr. Don, Lirow",Deluxe,QZ5AB1833039,spotify,4sLW4tfhCMYPfiN7u8r9DT,204s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4sLW4tfhCMYPfiN7u8r9DT
"Adicto (feat. Marc Anthony)","Prince Royce, Marc Anthony","Adicto (feat. Marc Anthony)",USSD11800378,spotify,4Xqpt53kWML7eTObGxQ43i,209s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4Xqpt53kWML7eTObGxQ43i
"¿Qué Harías por Amor?",MAYKEL,"¿Qué Harías por Amor?",QM6P41755447,spotify,1JLlsF05tHrdyOGm2gu7jY,188s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1JLlsF05tHrdyOGm2gu7jY
Centavito,"Romeo Santos",Golden,USSD11700313,spotify,68py7hjoxoGSE8HEoQIIwi,262s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/68py7hjoxoGSE8HEoQIIwi
"Amigos Con Derechos","DJ Khalid, Mr. Don, Johandy","Amigos Con Derechos",TCADY1832097,spotify,2OZU1ZoSloAAycxmRwOPzu,234s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2OZU1ZoSloAAycxmRwOPzu
"Ojala - Bachata Version","Grupo Extra","Ojala (Bachata Version)",CH9181800170,spotify,6VH1zYYo1CX6MgW2RpvTcE,212s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/6VH1zYYo1CX6MgW2RpvTcE
